iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
161	-0.400671974	0.7820184711	0.01677852349	0.3048933501	0.2522398346
162	-0.4004344265	0.781882929	0.01677852349	0.3029541169	0.2556701031
163	-0.4001796947	0.7823182274	0.01677852349	0.30375	0.2508614748
164	-0.4000218671	0.7824053452	0.02006688963	0.3028785982	0.2506887052
165	-0.399725902	0.7824924825	0.02010050251	0.306441526	0.2532690984
166	-0.3995661877	0.7826668152	0.02006688963	0.3075	0.2532690984
167	-0.3994684326	0.7824827279	0.02006688963	0.3071161049	0.2544704264
168	-0.3992669635	0.782569932	0.02006688963	0.3071161049	0.2570446735
169	-0.3990340462	0.7823955432	0.02337228715	0.3047021944	0.2577107608
170	-0.3988315647	0.7826086957	0.02666666667	0.3036386449	0.2581967213
171	-0.3986597153	0.7828705253	0.02666666667	0.3053817272	0.2570061517
172	-0.3985211438	0.7830451757	0.02666666667	0.3075	0.2583732057
173	-0.3982677157	0.7833947104	0.02995008319	0.306441526	0.2617586912
174	-0.3981402789	0.7833947104	0.02995008319	0.306441526	0.2617586912
175	-0.3978933715	0.783530462	0.02995008319	0.3075	0.2580204778
176	-0.3977523034	0.7834821429	0.03	0.3085571518	0.2617586912
177	-0.397598723	0.7838320679	0.03	0.3102803738	0.2617586912
178	-0.3973823273	0.7839678464	0.03	0.313238036	0.2653898769
179	-0.3971434626	0.7843181057	0.03	0.3168316832	0.2673063742
180	-0.3970379052	0.784269914	0.03	0.3172839506	0.2649279341
181	-0.3969169472	0.7840464753	0.03	0.3183220234	0.2623626374
182	-0.396793411	0.7839588919	0.03	0.3187152563	0.2621825669
183	-0.3965704134	0.7847563701	0.03	0.3218249075	0.2674897119
184	-0.3963997038	0.7851073345	0.03	0.32	0.2659355723
185	-0.3961403318	0.7849714861	0.02995008319	0.3214285714	0.2684931507
186	-0.3958637746	0.7850592709	0.02995008319	0.3232944069	0.2702331962
187	-0.3957697933	0.785322743	0.02995008319	0.3249540159	0.2690459849
188	-0.3954519719	0.7855383927	0.03322259136	0.3229357798	0.2663006177
189	-0.3952870177	0.7855383927	0.03322259136	0.3223039216	0.2684931507
190	-0.3950834265	0.7856743145	0.03322259136	0.3220651506	0.2718579235
191	-0.3948302269	0.7858022618	0.03322259136	0.3234932349	0.2722940776
192	-0.3945834135	0.7861945316	0.03322259136	0.3274064991	0.2732834806
193	-0.3944375588	0.7865949339	0.03322259136	0.3333333333	0.2742155525
194	-0.3942717709	0.786811708	0.03322259136	0.3333333333	0.2744027304
195	-0.3940833524	0.7868999551	0.03322259136	0.3331306991	0.2730375427
196	-0.3938276545	0.7872053872	0.03322259136	0.3341433779	0.2761904762
197	-0.3937032127	0.7873343813	0.03322259136	0.3343428225	0.2750170184
198	-0.3935097551	0.7873821284	0.03322259136	0.3343465046	0.2797012899
199	-0.3933135099	0.7874705288	0.03322259136	0.337993921	0.2822252374
