iter	MultiClassOneVsAll	MultiClassOneVsAll
177	-0.3954089127	-0.3954089127
178	-0.3952506182	-0.3952506182
179	-0.3950879647	-0.3950879647
180	-0.3949165703	-0.3949165703
181	-0.3947289309	-0.3947289309
182	-0.3944911936	-0.3944911936
183	-0.3942927504	-0.3942927504
184	-0.3941745277	-0.3941745277
185	-0.3940730688	-0.3940730688
186	-0.39395791	-0.39395791
187	-0.3937377669	-0.3937377669
188	-0.3936336655	-0.3936336655
189	-0.393437777	-0.393437777
190	-0.3932678463	-0.3932678463
191	-0.3931513089	-0.3931513089
192	-0.3930941562	-0.3930941562
193	-0.3929343353	-0.3929343353
194	-0.3927373979	-0.3927373979
195	-0.3926286473	-0.3926286473
196	-0.3924411499	-0.3924411499
197	-0.3923095304	-0.3923095304
198	-0.3921347443	-0.3921347443
199	-0.391978527	-0.391978527
200	-0.3918433543	-0.3918433543
201	-0.3917358431	-0.3917358431
202	-0.3915921331	-0.3915921331
203	-0.3914567074	-0.3914567074
204	-0.3912888073	-0.3912888073
205	-0.3911230797	-0.3911230797
206	-0.3910071887	-0.3910071887
207	-0.3909299264	-0.3909299264
208	-0.3908368327	-0.3908368327
209	-0.3907352233	-0.3907352233
210	-0.3905984871	-0.3905984871
211	-0.3904464645	-0.3904464645
212	-0.3903654316	-0.3903654316
213	-0.3902278271	-0.3902278271
214	-0.3900324903	-0.3900324903
215	-0.3899117327	-0.3899117327
216	-0.3898445457	-0.3898445457
217	-0.3897292206	-0.3897292206
218	-0.3896161484	-0.3896161484
219	-0.3894354432	-0.3894354432
220	-0.3893415742	-0.3893415742
221	-0.389275726	-0.389275726
222	-0.3891669196	-0.3891669196
223	-0.3890194775	-0.3890194775
224	-0.3888919958	-0.3888919958
225	-0.3886804948	-0.3886804948
226	-0.3885449607	-0.3885449607
227	-0.388374282	-0.388374282
228	-0.3882237361	-0.3882237361
229	-0.388125005	-0.388125005
230	-0.388035701	-0.388035701
231	-0.387896829	-0.387896829
232	-0.3877690399	-0.3877690399
233	-0.3876368499	-0.3876368499
234	-0.387430726	-0.387430726
235	-0.3872973409	-0.3872973409
236	-0.3871771965	-0.3871771965
237	-0.3870552036	-0.3870552036
238	-0.3868621731	-0.3868621731
239	-0.3867143648	-0.3867143648
240	-0.3865344599	-0.3865344599
241	-0.3863510556	-0.3863510556
242	-0.3862304476	-0.3862304476
243	-0.3861225408	-0.3861225408
244	-0.3859589429	-0.3859589429
245	-0.3857587179	-0.3857587179
246	-0.3856677998	-0.3856677998
247	-0.3855605608	-0.3855605608
248	-0.3854033268	-0.3854033268
249	-0.3852662619	-0.3852662619
250	-0.3851637692	-0.3851637692
251	-0.3850516835	-0.3850516835
252	-0.3849617277	-0.3849617277
253	-0.3848050321	-0.3848050321
254	-0.3847123986	-0.3847123986
255	-0.3846246378	-0.3846246378
256	-0.3845486809	-0.3845486809
257	-0.3844490597	-0.3844490597
258	-0.3843526647	-0.3843526647
259	-0.3841894084	-0.3841894084
260	-0.3840650286	-0.3840650286
261	-0.3839808943	-0.3839808943
262	-0.3838436207	-0.3838436207
263	-0.3836856086	-0.3836856086
264	-0.3835427634	-0.3835427634
265	-0.383407531	-0.383407531
266	-0.3833177158	-0.3833177158
267	-0.3831515076	-0.3831515076
268	-0.3829961683	-0.3829961683
269	-0.3829071894	-0.3829071894
270	-0.3828584832	-0.3828584832
271	-0.3826800556	-0.3826800556
272	-0.3825856343	-0.3825856343
273	-0.3824488771	-0.3824488771
274	-0.3823711842	-0.3823711842
275	-0.3822488228	-0.3822488228
276	-0.382179895	-0.382179895
277	-0.3820341462	-0.3820341462
278	-0.3819293916	-0.3819293916
279	-0.3817960894	-0.3817960894
280	-0.3817143689	-0.3817143689
