iter	MultiClassOneVsAll	MultiClassOneVsAll
179	-0.3976061504	-0.3976061504
180	-0.3974427305	-0.3974427305
181	-0.3972251624	-0.3972251624
182	-0.3969682772	-0.3969682772
183	-0.3968011634	-0.3968011634
184	-0.3965640301	-0.3965640301
185	-0.3964175438	-0.3964175438
186	-0.3962508652	-0.3962508652
187	-0.3961224028	-0.3961224028
188	-0.3959772512	-0.3959772512
189	-0.395788908	-0.395788908
190	-0.3956032615	-0.3956032615
191	-0.3954579648	-0.3954579648
192	-0.3953475816	-0.3953475816
193	-0.395173728	-0.395173728
194	-0.3949942971	-0.3949942971
195	-0.3948206855	-0.3948206855
196	-0.3947185868	-0.3947185868
197	-0.3946143266	-0.3946143266
198	-0.3944156545	-0.3944156545
199	-0.3943087128	-0.3943087128
200	-0.3941653485	-0.3941653485
201	-0.3940097214	-0.3940097214
202	-0.3939101788	-0.3939101788
203	-0.3937861552	-0.3937861552
204	-0.3936436436	-0.3936436436
205	-0.3935144664	-0.3935144664
206	-0.3933191776	-0.3933191776
207	-0.3931653938	-0.3931653938
208	-0.39304797	-0.39304797
209	-0.3929149197	-0.3929149197
210	-0.3928119741	-0.3928119741
211	-0.3927150139	-0.3927150139
212	-0.3925363109	-0.3925363109
213	-0.3924553201	-0.3924553201
214	-0.3923030945	-0.3923030945
215	-0.3922173234	-0.3922173234
216	-0.3920584687	-0.3920584687
217	-0.391920299	-0.391920299
218	-0.3917211721	-0.3917211721
219	-0.3916141608	-0.3916141608
220	-0.3914737965	-0.3914737965
221	-0.3913491489	-0.3913491489
222	-0.3911616827	-0.3911616827
223	-0.3910683001	-0.3910683001
224	-0.3909058105	-0.3909058105
225	-0.3908040961	-0.3908040961
226	-0.3906678728	-0.3906678728
227	-0.3905421739	-0.3905421739
228	-0.3904017097	-0.3904017097
229	-0.3902325996	-0.3902325996
230	-0.3900355318	-0.3900355318
231	-0.3899292164	-0.3899292164
232	-0.3897706468	-0.3897706468
233	-0.3896703828	-0.3896703828
234	-0.389560379	-0.389560379
235	-0.3893959154	-0.3893959154
236	-0.389173594	-0.389173594
237	-0.3890497	-0.3890497
238	-0.388922828	-0.388922828
239	-0.3887888754	-0.3887888754
240	-0.3886788079	-0.3886788079
241	-0.3885950334	-0.3885950334
242	-0.3885165172	-0.3885165172
243	-0.3884297594	-0.3884297594
244	-0.3883039759	-0.3883039759
245	-0.3881286042	-0.3881286042
246	-0.3880046434	-0.3880046434
247	-0.3879166662	-0.3879166662
248	-0.3877315439	-0.3877315439
249	-0.3876176897	-0.3876176897
250	-0.3875102145	-0.3875102145
251	-0.387329631	-0.387329631
252	-0.3872497676	-0.3872497676
253	-0.3870944697	-0.3870944697
254	-0.3869695101	-0.3869695101
255	-0.3868324796	-0.3868324796
256	-0.3867039315	-0.3867039315
257	-0.3865620222	-0.3865620222
258	-0.3863977846	-0.3863977846
259	-0.3863121421	-0.3863121421
260	-0.3861630934	-0.3861630934
261	-0.3860289614	-0.3860289614
262	-0.385898025	-0.385898025
263	-0.3857953596	-0.3857953596
264	-0.3856787185	-0.3856787185
265	-0.3855963458	-0.3855963458
266	-0.3854723794	-0.3854723794
267	-0.3853372735	-0.3853372735
268	-0.3851900993	-0.3851900993
269	-0.3850302824	-0.3850302824
270	-0.3849442808	-0.3849442808
271	-0.3848170273	-0.3848170273
272	-0.3846926241	-0.3846926241
273	-0.3846028036	-0.3846028036
274	-0.3845093582	-0.3845093582
275	-0.3843994205	-0.3843994205
276	-0.3842482111	-0.3842482111
277	-0.3842234433	-0.3842234433
278	-0.3840915005	-0.3840915005
279	-0.383997731	-0.383997731
280	-0.3839199974	-0.3839199974
281	-0.3837724575	-0.3837724575
282	-0.3836804958	-0.3836804958
283	-0.3835354964	-0.3835354964
284	-0.3834407576	-0.3834407576
285	-0.3833423902	-0.3833423902
286	-0.3832559759	-0.3832559759
287	-0.3831635714	-0.3831635714
288	-0.3830539462	-0.3830539462
289	-0.382921298	-0.382921298
290	-0.382828849	-0.382828849
291	-0.3827162782	-0.3827162782
292	-0.3826476206	-0.3826476206
293	-0.3825791279	-0.3825791279
294	-0.3824513294	-0.3824513294
295	-0.3823643533	-0.3823643533
296	-0.3822579629	-0.3822579629
297	-0.382153675	-0.382153675
298	-0.3820002155	-0.3820002155
299	-0.3819416625	-0.3819416625
300	-0.3818660465	-0.3818660465
301	-0.3817971434	-0.3817971434
302	-0.3816902418	-0.3816902418
303	-0.3816005966	-0.3816005966
304	-0.3814792928	-0.3814792928
305	-0.3813746618	-0.3813746618
306	-0.381208473	-0.381208473
307	-0.3811111531	-0.3811111531
308	-0.3809677677	-0.3809677677
309	-0.3808762773	-0.3808762773
310	-0.3807670843	-0.3807670843
311	-0.3806438571	-0.3806438571
312	-0.3805378952	-0.3805378952
313	-0.3804206894	-0.3804206894
314	-0.3802834771	-0.3802834771
315	-0.3801657964	-0.3801657964
316	-0.3800349517	-0.3800349517
317	-0.3799656342	-0.3799656342
318	-0.3798691822	-0.3798691822
319	-0.3797302875	-0.3797302875
320	-0.3796131457	-0.3796131457
321	-0.3795513048	-0.3795513048
322	-0.3794359312	-0.3794359312
323	-0.3793327161	-0.3793327161
324	-0.3791918526	-0.3791918526
325	-0.3791014099	-0.3791014099
326	-0.3789879363	-0.3789879363
327	-0.3788728906	-0.3788728906
328	-0.3787168301	-0.3787168301
329	-0.3785626301	-0.3785626301
330	-0.378472468	-0.378472468
331	-0.3783409752	-0.3783409752
332	-0.3782596118	-0.3782596118
333	-0.378146321	-0.378146321
334	-0.378064871	-0.378064871
335	-0.3779827674	-0.3779827674
336	-0.3778455897	-0.3778455897
337	-0.3777210705	-0.3777210705
338	-0.3776249485	-0.3776249485
339	-0.3775223067	-0.3775223067
340	-0.3773931801	-0.3773931801
341	-0.3772159822	-0.3772159822
342	-0.3770071881	-0.3770071881
343	-0.3768899826	-0.3768899826
344	-0.3767743099	-0.3767743099
345	-0.376684373	-0.376684373
346	-0.3765412071	-0.3765412071
347	-0.3763857413	-0.3763857413
348	-0.3762538869	-0.3762538869
349	-0.3761569205	-0.3761569205
350	-0.3760452028	-0.3760452028
351	-0.3759887981	-0.3759887981
352	-0.3758602325	-0.3758602325
353	-0.3757702405	-0.3757702405
354	-0.3756028847	-0.3756028847
355	-0.3754852997	-0.3754852997
356	-0.3753238372	-0.3753238372
357	-0.375222303	-0.375222303
358	-0.3750951325	-0.3750951325
359	-0.3750071017	-0.3750071017
360	-0.3749130997	-0.3749130997
361	-0.3748012904	-0.3748012904
362	-0.3747114836	-0.3747114836
363	-0.3746194645	-0.3746194645
364	-0.3744989007	-0.3744989007
365	-0.3744213925	-0.3744213925
366	-0.3743677108	-0.3743677108
367	-0.3742312041	-0.3742312041
368	-0.374119497	-0.374119497
369	-0.3740480263	-0.3740480263
370	-0.3739619094	-0.3739619094
371	-0.3738659867	-0.3738659867
372	-0.3737568147	-0.3737568147
373	-0.3736412703	-0.3736412703
374	-0.3735514226	-0.3735514226
375	-0.3734514276	-0.3734514276
376	-0.3733710729	-0.3733710729
377	-0.373276393	-0.373276393
378	-0.3731609377	-0.3731609377
379	-0.3730619322	-0.3730619322
380	-0.3729836599	-0.3729836599
381	-0.3728206227	-0.3728206227
382	-0.3726888482	-0.3726888482
383	-0.3726092054	-0.3726092054
384	-0.3725362402	-0.3725362402
385	-0.3724258615	-0.3724258615
386	-0.3723549386	-0.3723549386
387	-0.3722823054	-0.3722823054
388	-0.3722280595	-0.3722280595
389	-0.3721095514	-0.3721095514
390	-0.3719934498	-0.3719934498
391	-0.3719176903	-0.3719176903
392	-0.3717986349	-0.3717986349
393	-0.3716387811	-0.3716387811
394	-0.3715208937	-0.3715208937
395	-0.3714153802	-0.3714153802
396	-0.3713003446	-0.3713003446
397	-0.3711508722	-0.3711508722
398	-0.3710636767	-0.3710636767
399	-0.3709664219	-0.3709664219
400	-0.3708752369	-0.3708752369
401	-0.3707498629	-0.3707498629
402	-0.3706851224	-0.3706851224
403	-0.3705896677	-0.3705896677
404	-0.3704811922	-0.3704811922
405	-0.3703863018	-0.3703863018
406	-0.3702359991	-0.3702359991
407	-0.3701478694	-0.3701478694
408	-0.3700470191	-0.3700470191
409	-0.3699415503	-0.3699415503
410	-0.3698434814	-0.3698434814
411	-0.3697394345	-0.3697394345
412	-0.3695900972	-0.3695900972
413	-0.3695309166	-0.3695309166
414	-0.3694311213	-0.3694311213
415	-0.3693688877	-0.3693688877
416	-0.3692927052	-0.3692927052
417	-0.3692321759	-0.3692321759
418	-0.3690753266	-0.3690753266
419	-0.3689472121	-0.3689472121
420	-0.3688664303	-0.3688664303
421	-0.3687131046	-0.3687131046
422	-0.3686455239	-0.3686455239
423	-0.3685665781	-0.3685665781
424	-0.368489987	-0.368489987
425	-0.3684310203	-0.3684310203
426	-0.3683620905	-0.3683620905
427	-0.3682433721	-0.3682433721
428	-0.3680936206	-0.3680936206
429	-0.367983251	-0.367983251
430	-0.3678394485	-0.3678394485
431	-0.3677312081	-0.3677312081
432	-0.3676271548	-0.3676271548
433	-0.3675407363	-0.3675407363
434	-0.3674025749	-0.3674025749
435	-0.3672833811	-0.3672833811
436	-0.36721232	-0.36721232
437	-0.3671333512	-0.3671333512
438	-0.3670812956	-0.3670812956
439	-0.3669674837	-0.3669674837
440	-0.3668283487	-0.3668283487
441	-0.3666715333	-0.3666715333
442	-0.3665603482	-0.3665603482
443	-0.3664335142	-0.3664335142
444	-0.3662721677	-0.3662721677
445	-0.3661602899	-0.3661602899
446	-0.3660722917	-0.3660722917
447	-0.3659949928	-0.3659949928
448	-0.3658277289	-0.3658277289
449	-0.3657059011	-0.3657059011
450	-0.36560322	-0.36560322
451	-0.3654885976	-0.3654885976
452	-0.3654463265	-0.3654463265
453	-0.3653244352	-0.3653244352
454	-0.3652467296	-0.3652467296
455	-0.3651679366	-0.3651679366
456	-0.3650816336	-0.3650816336
457	-0.3650174523	-0.3650174523
458	-0.3649368043	-0.3649368043
459	-0.3647999004	-0.3647999004
460	-0.3646753958	-0.3646753958
461	-0.3645861302	-0.3645861302
462	-0.3644480762	-0.3644480762
463	-0.3643861978	-0.3643861978
464	-0.3642969627	-0.3642969627
465	-0.3642010861	-0.3642010861
466	-0.3641265253	-0.3641265253
467	-0.3640299876	-0.3640299876
468	-0.3639465838	-0.3639465838
469	-0.3638393157	-0.3638393157
470	-0.3637797559	-0.3637797559
471	-0.3637151077	-0.3637151077
472	-0.3636422157	-0.3636422157
473	-0.3635363211	-0.3635363211
474	-0.3634322798	-0.3634322798
475	-0.3633300152	-0.3633300152
476	-0.3632602035	-0.3632602035
477	-0.3631959074	-0.3631959074
478	-0.3630731734	-0.3630731734
479	-0.3629746164	-0.3629746164
480	-0.3628649529	-0.3628649529
481	-0.3627786253	-0.3627786253
482	-0.3626980895	-0.3626980895
483	-0.3626465113	-0.3626465113
484	-0.3625675528	-0.3625675528
485	-0.3624394759	-0.3624394759
486	-0.3623616837	-0.3623616837
487	-0.3622172154	-0.3622172154
488	-0.3620653362	-0.3620653362
489	-0.3619793215	-0.3619793215
490	-0.3618627338	-0.3618627338
491	-0.361764551	-0.361764551
492	-0.3617115526	-0.3617115526
493	-0.361673896	-0.361673896
494	-0.3615468094	-0.3615468094
495	-0.3614729525	-0.3614729525
496	-0.3613632316	-0.3613632316
497	-0.3612591078	-0.3612591078
